name	url
ОРТОЛАЙН, ортопедический салон в Румянцево, ортопедическая обувь для детей и взрослых	http://www.spr.ru/moskovskiy-118954/ortolayn-1087274.html
ОРТОПЕДИЧЕСКИЙ КАБИНЕТ В ЮЖНОМ БУТОВО	http://www.spr.ru/yuzhnoe-butovo/ortopedicheskiy-kabinet-v-yuzhnom-butovo.html
ОРТОПЕДИЧЕСКИЙ САЛОН	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/ortopedicheskiy-salon-1128991.html
АХИЛЛЕС, ортопедический салон	http://www.spr.ru/lobnya-i-gorodskoy-okrug-lobnya/ahilles-1121124.html
ОРТОПЕДИЯ	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/ortopediya-1145126.html
ОРТОПЕДИЯ	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/ortopediya-1145121.html
ОРТО-Н, ортопедический салон	http://www.spr.ru/pavlovskiy-posad-i-pavlovo-posadskiy-rayon/orto-n-4707648.html
ОРТОПЕДИЧЕСКИЙ САЛОН-МАГАЗИН	http://www.spr.ru/noginsk-i-noginskiy-rayon/ortopedicheskiy-salon-magazin-1704871.html
ОРТОЛАЙН, ортопедический салон	http://www.spr.ru/marino/ortolayn.html
MEDI, ортопедический салон	http://www.spr.ru/hamovniki/medi-778906.html
ОРТЕКА, ортопедические изделия	http://www.spr.ru/alekseevskiy/orteka.html
ЛАДОМЕД, ортопедический салон	http://www.spr.ru/tverskoy/ladomed-103534.html
МОСКОВСКАЯ ФАБРИКА ОРТОПЕДИЧЕСКОЙ ОБУВИ	http://www.spr.ru/preobrazhenskoe/moskovskaya-fabrika-ortopedicheskoy-obuvi.html
НИНА-ОРТОМЕД, ортопедический салон	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/nina-ortomed.html
РИПСЕЛ, ортопедический салон	http://www.spr.ru/schukino/ripsel.html
КЛАДОВАЯ ЗДОРОВЬЯ, ортопедический салон	http://www.spr.ru/chehov-i-chehovskiy-rayon/kladovaya-zdorovya-1125092.html
