Хочу поблагодарить сотрудников ЭХО
Попали с сыном 3 лет в отделение экстренной хирургии с аппендицитом, ночью. При поступлении тут же были проведены все необходимые исследования.
Операцию провели хорошо. Персонал очень внимательный, я бы даже сказала ласковый. Врачи все четко разъясняют. Работники столовой по несколько раз проверяют все ли детки поели. Питание полноценное. Я бы не сказала, что очень вкусное, но есть вполне можно. Питание 5-ти разовое. Соки, фрукты, печенье, молочку сотрудники не оставляют себе - как порой это бывает в других больницах, а все раздают детям. Медсестры контролируют прием лекарств в таблетках - лекарства пьют при них, так как многие детки лежат без родителей.

Если кто из детишек ночью покашлял - врачи это слышат и тут же обращают на это внимание, а не проходят мимо.
В палатах и в самом отделении регулярно убираются. В туалетах (во всяком случае в женском) как правило чисто, и даже периодически весит туалетная бумага.

Штукатурка и стены не осыпаются.
Кровати в общем то тоже вполне терпимы, для гос. больницы.
Белье чистое. При необходимости его меняют.

К сожалению, не могу сказать того же самого про отделение нефрологии.
